;Identificador;ct_clacul;ct_prepa_suelo;ct_k510h;ct_k511h;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_pqui;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
12678;12085002062560003;507;1;,0706;,0706;2;1;,0706;6;1;1,1023; ; ; ;,0706;1;,5;4;,5;1;,5;4;,0706;,27272727;,18181818
12680;12085002062560004;507;1;,5;,5;3;2; ;0;1;2,2046; ; ; ;,5;1;1;3;1;2; ; ;,5;4,36363636;1,81818182
12681;12085002062560004;507;1;,5;,5;2;2; ;0;1;2,2046; ; ; ;,5;1;1;3;1;2; ; ;,5;4,36363636;1,81818182
12682;12085002062560004;507;1;,5;,5;2;1;,5;6;1;2,2046; ; ; ;,5;1;1;3;1;2; ; ;,5;4,36363636;1,81818182
12683;12085002062560004;507;1;,5;,5;2;1;,5;6;1;2,2046; ; ; ;,5;1;1;3;1;2; ; ;,5;4,36363636;1,81818182
12688;12085002062560005;507;1;,5;,5;6;2; ;0;1;2,2046; ; ; ;,5;1;1;2; ; ; ; ;,5;3;3
12704;12085002063410003;507;1;2,8224;2,8224;2;2; ;0;1;881,84;881,84; ;881,84;2,8224;1;8;3;16;3;16;3;2,8224;10,90909091;5
12705;12085002063410004;507;1;2,8224;2,8224;2;2; ;0;1;881,84;881,84; ;881,84;2,8224;1;8;3;16;3;16;3;2,8224;10;4,54545455
12790;12085002077230001;507;1;1;1;2;2; ;0;1;220,46;110,23; ;110,23;1;1;2;3;,75;3;,75;3;1;2,72727273; 
12805;12085002077610002;507;1;2;2;2;2; ;0;1;8,8184;200,0; ; ;2;1; ; ; ; ;,25;5;2;8,18181818;7,63636364
12806;12085002077610002;507;1;2;2;1;1;2;1;1;6,6138; ; ; ;2;1; ; ; ; ;,25;5;2;3,27272727;3
12809;12085002077610003;507;1;,7056;,7056;2;2; ;0;1;2,2046;110,23; ; ;,7056;1;2;3;2;3; ; ;,7056;2,72727273;2,27272727
12817;12085002077610006;507;1;1;1;2;1;1;2;1;4,4092;400,0; ; ;1;1;1;3;1;3; ; ;1;2,61363636; 
12820;12085002077610007;507;1;1;1;2;2; ;0;1;2,2046;300,0; ; ;1;1;2;3;2;3; ; ;1;8,18181818;1,27272727
12826;12085002077610009;507;1;2,1168;2,1168;6;2; ;0;1;800,0;400,0; ; ;2,1168;1;4;3;2;3;2;3;2,1168;2,72727273; 
12831;12085002077610012;507;1;,7056;,7056;2;2; ;0;1;4,4092;110,23; ; ;,7056;1;2;3;2;3; ; ;,7056;2,72727273;2,27272727
12837;12085002080540003;507;1;2;2;1;2; ;0;1;220,46;220,46; ; ;2;1;2;5;,5;5; ; ;2;1,36363636; 
12844;12085002081830007;507;1;,6985;,3528;1;2; ;0;1;300,0;100,0; ; ;,6985;1; ; ;1;5; ; ;,6985;,27272727;,27272727
12855;12085002083360012;507;1;,5;,5;1;2; ;0;1; ;220,46; ; ;,5;1;1;3;,5;1; ; ;,5;,36363636; 
12856;12085002083360015;507;1;,47;,47;1;2; ;0;1; ;110,23; ; ;,47;1;1,5;4; ; ; ; ;,47;,43636364; 
12858;12085002083360016;507;1;1;1;1;2; ;0;1;220,46;220,46; ; ;1;1;2;2;1;2; ; ;1;,76363636;,70909091
12864;12085002083640001;507;1;1,5;1,5;2;2; ;0;1;220,46;440,92; ; ;1,5;1;1,5;4; ; ; ; ;1,5;,95454545;,22727273
