;Identificador;rc_clacul;ct_prepa_suelo;ct_k510ha;ct_k511ha;ct_afecta_prod;ct_riego;ct_superf_regada_ha;Tipo_riego;ct_fqui;ct_fqui_npk;ct_fqui_nit;ct_fqui_fos;ct_fqui_pot;su_fertilizada;ct_afito;pq_herb;ct_color_her_pq;pq_ins;ct_color_ins_pq;pq_fun;ct_color_fun_pq;su_plaguicidas;ct_prod;Ventas
12445;12085002064990004;507;1;,7056;,7056;2;2; ;0;1;440,92;220,46; ; ;,7056;1;1;3;1;3; ; ;,7056;2; 
12448;12085002064990005;507;1;2,1168;2,1168;6;2; ;0;1;440,92;661,38;330,69; ;2,1168;1;3;2;3;2;3;2;2,1168;18; 
12451;12085002064990006;507;1;6;6;3;2; ;0;1; ;2645,52;1322,76;1322,76;6;1;12;5;6;2;6;2;6;7,27272727272727; 
12475;12085002068770008;507;1;,3528;,3528;6;2; ;0;1;110,23;110,23; ; ;,3528;1;1;2; ; ; ; ;,3528;1,63636363636364;1,63636363636364
12477;12085002068770009;507;1;,7056;,7056;5;2; ;0;1; ;200; ; ;,7056;1;4;1; ; ; ; ;,7056;1,27272727272727; 
12480;12085002068770010;507;1;1,4112;1,4112;6;2; ;0;1;661,38;440,92; ;110,23;1,4112;1;4;2;6;2; ; ;1,4112;7,27272727272727;7,27272727272727
12483;12085002068770011;507;1;1,0584;1,0584;6;2; ;0;1;661,38;220,46; ; ;1,0584;1;4,5;2;2,25;2; ; ;1,0584;7,27272727272727;7,27272727272727
12504;12085002068860005;507;1;,7056;,7056;2;2; ;0;1;661,38; ; ; ;,7056;1;2;3;2;3;2;2;,7056;4,36363636363636;2,72727272727273
12509;12085002068860006;507;1;,7056;,7056;6;2; ;0;1;440,92; ; ; ;,7056;1;1;2;5;2; ; ;,7056;5;3
12514;12085002069590001;507;1;,7056;,7056;2;2; ;0;1;661,38; ; ; ;,7056;1;2;3;2;3;2;3;,7056;4,36363636363636;2,72727272727273
12517;12085002069590002;507;2;,7056;,7056;6;2; ;0;1;440,92; ; ; ;,7056;1;1;2;1;2;1;3;,7056;5;3
12540;12085002069650010;507;1;,5;,5;6;2; ;0;1;165,345;165,345; ; ;,5;1;1;2;,25;3;1;3;,5;1,36363636363636;,727272727272727
12548;12085002069650012;507;1;1;1;6;2; ;0;1;330,69;330,69; ; ;1;1;3;2;3;2;1;2;1;3,86818181818182;3,65909090909091
12568;12085002069670008;507;1;1;1;2;2; ;0;1;881,84; ; ; ;1;1;2;5;3;5;2;5;1;5,45454545454545;4,54545454545455
12592;12085002069670022;507;1;1,25;1,25;5;2; ;0;1; ;330,69; ; ;1,25;1;2;2; ; ; ; ;1,25;3,63636363636364;1,81818181818182
12602;12085002073690004;507;1;1,0584;1,0584;2;2; ;0;1; ;220,46; ; ;1,0584;1;7,5;4;1,12;2; ; ;1,0584;2,72727272727273;2,72727272727273
12643;12085002084510003;507;1;,25;,25;6;2; ;0;1;220,46; ; ; ;,25;1;1;4;,5;4;,5;4;,25;1,4; 
12644;12085002084510003;507;1;,75;,75;2;2; ;0;1;440,92; ; ; ;,75;1;2,5;4;,75;4;,75;4;,75;4,09090909090909;4,09090909090909
12645;12085002084510003;507;1;,75;,75;2;2; ;0;1;440,92; ; ; ;,75;1;2,5;4;,75;4;,75;4;,75;4,09090909090909;4,09090909090909
12658;12085002087160003;507;1;1;1;6;2; ;0;1; ;330,69; ;330,69;1;1; ; ;0,04535;1;,5;3;1;2,8;1,5
